time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.125,0.0,0.25,0.0,0.0,0.125,0.125,0.25,0.125,-0.010000000000005116,0.0
0.2,0.0,0.125,0.0,0.5,0.0,-0.125,0.125,0.375,0.375,0.375,-0.010000000000005116,0.03999999999999915
0.3,0.0,0.0,0.0,0.625,0.0,-0.25,0.0,0.5,0.5,0.5,0.0,0.02999999999999403
0.4,0.125,0.125,0.0,0.875,-0.125,-0.25,0.0,0.625,0.625,0.75,0.02999999999999403,0.07000000000000028
0.5,0.125,0.125,0.0,1.0,-0.125,-0.25,0.0,0.875,0.625,0.875,0.0,0.03999999999999915
0.6,0.125,0.125,0.0,1.25,-0.125,-0.375,0.0,1.125,0.75,1.0,0.0,0.01999999999999602
0.7,0.25,0.125,0.0,1.5,-0.125,-0.375,0.0,1.25,0.875,1.125,0.01999999999999602,-0.010000000000005116
0.8,0.125,0.125,0.0,1.625,-0.125,-0.5,0.125,1.375,1.0,1.375,0.01999999999999602,0.02999999999999403
0.9,0.25,0.125,0.0,1.875,-0.25,-0.625,0.125,1.625,1.125,1.5,0.0,0.0
1.0,0.25,0.125,0.0,2.0,-0.25,-0.625,0.0,1.75,1.25,1.625,0.03999999999999915,0.01999999999999602
1.1,0.25,0.125,0.0,2.25,-0.25,-0.75,0.125,1.875,1.375,1.75,0.01999999999999602,0.02999999999999403
1.2,0.375,0.125,0.0,2.375,-0.375,-0.75,0.125,2.0,1.375,1.875,0.01999999999999602,0.01999999999999602
1.3,0.375,0.125,0.0,2.625,-0.375,-0.875,0.125,2.125,1.5,1.875,0.02999999999999403,0.0
1.4,0.375,0.25,0.0,2.75,-0.375,-0.875,0.125,2.25,1.5,2.125,0.02999999999999403,-0.020000000000003126
1.5,0.375,0.25,0.0,2.875,-0.375,-0.875,-0.125,2.375,1.625,2.125,0.01999999999999602,-0.010000000000005116
1.6,0.375,0.25,0.0,3.125,-0.5,-1.0,0.125,2.5,1.75,2.25,0.03999999999999915,-0.010000000000005116
1.7,0.5,0.25,0.0,3.25,-0.5,-1.0,0.0,2.625,1.75,2.375,0.02999999999999403,0.0
1.8,0.5,0.25,0.0,3.375,-0.5,-1.0,0.0,2.75,1.875,2.375,0.02999999999999403,-0.03999999999999915
1.9,0.5,0.375,0.0,3.5,-0.625,-1.125,0.125,2.875,1.875,2.5,0.02999999999999403,0.0
2.0,0.625,0.375,0.0,3.75,-0.625,-1.25,0.125,3.0,2.0,2.625,0.02999999999999403,-0.03999999999999915
2.1,0.625,0.25,0.0,3.875,-0.75,-1.25,0.0,3.125,2.0,2.75,0.03999999999999915,-0.010000000000005116
2.2,0.625,0.375,0.0,4.0,-0.75,-1.25,0.0,3.125,2.125,2.75,0.01999999999999602,-0.030000000000001137
2.3,0.625,0.375,0.0,4.125,-0.75,-1.375,0.125,3.25,2.25,2.75,0.01999999999999602,-0.03999999999999915
2.4,0.625,0.375,0.0,4.25,-0.875,-1.5,0.125,3.375,2.25,2.875,0.05999999999999517,-0.07000000000000028
2.5,0.625,0.375,0.0,4.375,-0.875,-1.5,0.125,3.5,2.25,2.875,0.01999999999999602,-0.060000000000002274
2.6,0.75,0.375,0.0,4.5,-1.0,-1.5,0.0,3.5,2.375,3.0,0.02999999999999403,-0.020000000000003126
2.7,0.75,0.5,0.0,4.625,-1.0,-1.5,0.0,3.75,2.375,3.125,0.01999999999999602,-0.0800000000000054
2.8,0.75,0.375,0.0,4.75,-1.0,-1.625,0.125,3.75,2.5,3.125,0.03999999999999915,-0.07000000000000028
2.9,0.75,0.5,0.0,4.875,-1.125,-1.625,0.125,3.875,2.625,3.125,0.02999999999999403,-0.0800000000000054
3.0,0.75,0.5,0.0,5.0,-1.125,-1.625,0.25,3.875,2.625,3.25,0.02999999999999403,-0.07000000000000028
3.1,0.875,0.375,0.0,5.0,-1.25,-1.625,0.25,4.0,2.625,3.25,0.02999999999999403,-0.10000000000000142
3.2,0.875,0.5,0.0,5.25,-1.25,-1.75,0.25,4.0,2.75,3.375,0.05999999999999517,-0.10000000000000142
3.3,0.875,0.5,0.0,5.25,-1.25,-1.75,0.25,4.0,2.75,3.375,0.02999999999999403,-0.10999999999999943
3.4,0.875,0.5,0.0,5.375,-1.375,-1.75,0.125,4.125,2.75,3.375,0.03999999999999915,-0.07000000000000028
3.5,0.875,0.5,0.0,5.375,-1.375,-1.75,0.0,4.25,2.75,3.375,0.01999999999999602,-0.13000000000000256
3.6,0.875,0.625,0.0,5.5,-1.375,-1.875,0.125,4.25,2.875,3.375,0.02999999999999403,-0.13000000000000256
3.7,0.875,0.5,0.0,5.625,-1.5,-1.875,0.25,4.25,2.875,3.5,0.03999999999999915,-0.1600000000000037
3.8,1.0,0.625,0.0,5.75,-1.625,-1.75,0.25,4.375,3.0,3.5,0.03999999999999915,-0.14000000000000057
3.9,1.0,0.625,0.0,5.875,-1.5,-1.875,0.125,4.5,3.0,3.5,0.01999999999999602,-0.14000000000000057
4.0,1.0,0.625,0.0,6.0,-1.625,-1.875,0.375,4.5,3.0,3.5,0.01999999999999602,-0.12000000000000455
4.1,1.0,0.625,0.0,6.0,-1.625,-1.875,0.25,4.625,3.0,3.5,0.03999999999999915,-0.1600000000000037
4.2,1.0,0.625,0.0,6.125,-1.75,-1.875,0.375,4.625,3.0,3.5,0.02999999999999403,-0.1700000000000017
4.3,1.0,0.625,0.0,6.25,-1.75,-1.875,0.375,4.75,3.0,3.5,0.02999999999999403,-0.1600000000000037
4.4,1.0,0.625,0.0,6.25,-1.75,-1.875,0.25,4.75,3.0,3.5,0.02999999999999403,-0.1600000000000037
4.5,1.0,0.625,0.0,6.375,-1.75,-1.875,0.375,4.75,3.125,3.5,0.02999999999999403,-0.20000000000000284
4.6,1.125,0.625,0.0,6.375,-1.875,-2.0,0.375,4.875,3.0,3.5,0.03999999999999915,-0.1600000000000037
4.7,1.0,0.5,0.0,6.5,-1.875,-2.0,0.5,4.875,3.125,3.5,0.03999999999999915,-0.1700000000000017
4.8,1.125,0.5,0.0,6.5,-1.875,-2.0,0.5,4.875,3.125,3.5,0.02999999999999403,-0.19000000000000483
