time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.25,0.125,0.0,-0.125,0.25,0.125,0.375,0.01999999999999602,0.00999999999999801
0.2,0.0,0.0,0.0,0.5,0.25,0.0,-0.125,0.5,0.25,0.625,0.01999999999999602,0.0
0.3,0.125,0.0,0.0,0.75,0.375,0.0,-0.125,0.75,0.375,0.875,0.030000000000001137,0.030000000000001137
0.4,0.125,0.0,0.0,1.0,0.375,-0.125,-0.125,1.0,0.5,1.125,0.030000000000001137,-0.00999999999999801
0.5,0.125,0.0,0.0,1.25,0.5,0.0,-0.25,1.25,0.5,1.375,0.04999999999999716,0.0799999999999983
0.6,0.25,0.0,0.0,1.5,0.625,0.0,-0.125,1.5,0.625,1.625,0.030000000000001137,0.03999999999999915
0.7,0.25,0.0,0.0,1.75,0.625,0.0,-0.25,1.75,0.75,1.875,0.030000000000001137,0.0799999999999983
0.8,0.25,-0.125,0.125,2.0,0.625,-0.125,-0.125,2.0,0.875,2.125,0.030000000000001137,0.09000000000000341
0.9,0.375,0.0,0.125,2.25,0.75,-0.125,-0.125,2.25,1.0,2.375,0.030000000000001137,0.03999999999999915
1.0,0.375,0.0,0.125,2.5,0.75,-0.125,-0.125,2.5,1.125,2.5,0.04999999999999716,0.09000000000000341
1.1,0.375,0.0,0.125,2.75,0.875,-0.25,-0.25,2.75,1.125,2.875,0.05999999999999517,0.060000000000002274
1.2,0.375,0.0,0.125,3.0,0.875,-0.25,-0.125,3.0,1.25,3.0,0.030000000000001137,0.09000000000000341
1.3,0.5,-0.125,0.125,3.375,0.875,-0.25,0.0,3.25,1.375,3.25,0.05999999999999517,0.10999999999999943
1.4,0.5,0.0,0.125,3.5,0.875,-0.25,-0.125,3.5,1.375,3.5,0.030000000000001137,0.0799999999999983
1.5,0.625,0.0,0.125,3.75,1.0,-0.375,-0.125,3.75,1.5,3.75,0.04999999999999716,0.09000000000000341
1.6,0.625,0.0,0.125,4.0,1.0,-0.375,-0.125,4.0,1.5,3.875,0.04999999999999716,0.09000000000000341
1.7,0.625,-0.125,0.125,4.25,1.0,-0.375,-0.125,4.125,1.625,4.0,0.030000000000001137,0.14999999999999858
1.8,0.625,0.0,0.125,4.5,1.0,-0.375,0.0,4.375,1.625,4.25,0.04999999999999716,0.11999999999999744
1.9,0.75,0.0,0.125,4.75,0.875,-0.5,0.0,4.625,1.75,4.375,0.07000000000000028,0.11999999999999744
2.0,0.75,0.0,0.125,5.0,1.0,-0.625,-0.125,4.875,1.75,4.625,0.04999999999999716,0.14000000000000057
2.1,0.75,0.0,0.125,5.125,1.0,-0.625,-0.125,5.0,1.875,4.75,0.04999999999999716,0.11999999999999744
2.2,0.75,0.0,0.125,5.375,1.0,-0.625,-0.25,5.25,1.875,5.0,0.05999999999999517,0.09000000000000341
2.3,0.75,0.0,0.125,5.625,0.875,-0.75,-0.125,5.5,2.0,5.125,0.04999999999999716,0.0799999999999983
2.4,0.875,0.0,0.125,5.875,0.875,-0.75,-0.125,5.625,2.125,5.375,0.04999999999999716,0.14999999999999858
2.5,0.875,0.125,0.125,6.125,1.0,-0.75,-0.125,5.875,2.125,5.5,0.030000000000001137,0.09000000000000341
2.6,1.0,0.125,0.125,6.25,0.875,-0.875,-0.25,6.0,2.125,5.625,0.04999999999999716,0.09000000000000341
2.7,1.0,0.125,0.25,6.5,0.875,-0.875,-0.25,6.25,2.25,5.875,0.04999999999999716,0.09000000000000341
2.8,1.0,0.125,0.125,6.75,0.875,-1.0,-0.375,6.5,2.375,6.0,0.05999999999999517,0.14000000000000057
2.9,1.0,0.25,0.25,7.0,0.875,-1.0,-0.25,6.625,2.375,6.125,0.05999999999999517,0.060000000000002274
3.0,1.125,0.125,0.25,7.125,0.875,-1.0,-0.25,6.875,2.375,6.25,0.030000000000001137,0.060000000000002274
3.1,1.125,0.25,0.25,7.375,0.875,-1.125,-0.125,7.0,2.5,6.375,0.07000000000000028,0.09000000000000341
3.2,1.125,0.125,0.25,7.5,0.875,-1.125,-0.25,7.25,2.5,6.625,0.030000000000001137,0.13000000000000256
3.3,1.125,0.125,0.25,7.75,0.875,-1.25,-0.375,7.375,2.625,6.75,0.05999999999999517,0.09000000000000341
3.4,1.25,0.125,0.25,8.0,0.75,-1.25,-0.25,7.625,2.75,6.875,0.04999999999999716,0.0
3.5,1.25,0.25,0.25,8.125,0.75,-1.375,-0.25,7.75,2.75,7.125,0.05999999999999517,0.09000000000000341
3.6,1.25,0.25,0.25,8.25,0.75,-1.375,-0.25,8.0,2.75,7.125,0.04999999999999716,0.0799999999999983
3.7,1.375,0.25,0.25,8.5,0.625,-1.375,-0.25,8.125,2.75,7.375,0.05999999999999517,0.03999999999999915
3.8,1.375,0.25,0.25,8.625,0.75,-1.5,-0.125,8.375,2.875,7.5,0.030000000000001137,0.060000000000002274
3.9,1.375,0.25,0.25,8.875,0.625,-1.5,-0.25,8.5,3.0,7.625,0.04999999999999716,0.10000000000000142
4.0,1.5,0.25,0.25,9.125,0.625,-1.5,-0.25,8.625,3.0,7.75,0.05999999999999517,0.05000000000000426
4.1,1.5,0.25,0.25,9.25,0.625,-1.625,-0.25,8.875,3.0,7.875,0.05999999999999517,0.05000000000000426
4.2,1.5,0.25,0.25,9.5,0.625,-1.625,-0.125,9.0,3.125,8.0,0.04999999999999716,0.030000000000001137
4.3,1.625,0.25,0.25,9.625,0.5,-1.625,-0.375,9.125,3.125,8.125,0.05999999999999517,0.020000000000003126
4.4,1.625,0.25,0.25,9.75,0.5,-1.75,-0.25,9.375,3.25,8.25,0.04999999999999716,0.030000000000001137
4.5,1.625,0.375,0.375,10.0,0.5,-1.75,-0.25,9.625,3.25,8.375,0.05999999999999517,0.020000000000003126
4.6,1.625,0.375,0.25,10.25,0.5,-1.75,-0.375,9.75,3.25,8.5,0.05999999999999517,0.020000000000003126
4.7,1.625,0.25,0.375,10.375,0.375,-1.75,-0.25,9.875,3.375,8.625,0.07000000000000028,0.03999999999999915
4.8,1.75,0.375,0.375,10.5,0.375,-1.875,-0.25,10.125,3.5,8.75,0.04999999999999716,-0.030000000000001137
4.9,1.75,0.375,0.375,10.75,0.375,-2.0,-0.375,10.25,3.5,8.875,0.030000000000001137,-0.030000000000001137
5.0,1.75,0.375,0.25,10.75,0.25,-2.0,-0.5,10.375,3.5,8.875,0.05999999999999517,0.0
5.1,1.875,0.375,0.375,11.0,0.25,-2.0,-0.375,10.5,3.5,9.0,0.05999999999999517,0.0
5.2,1.875,0.375,0.375,11.125,0.25,-2.0,-0.25,10.75,3.625,9.125,0.05999999999999517,0.0
5.3,1.875,0.5,0.375,11.25,0.125,-2.125,-0.375,10.875,3.625,9.125,0.05999999999999517,-0.04999999999999716
5.4,2.0,0.5,0.375,11.375,0.125,-2.125,-0.375,11.0,3.75,9.25,0.04999999999999716,-0.060000000000002274
5.5,2.0,0.625,0.375,11.5,0.0,-2.25,-0.125,11.125,3.75,9.375,0.05999999999999517,-0.00999999999999801
5.6,2.0,0.5,0.375,11.75,0.0,-2.375,-0.25,11.25,3.75,9.5,0.07000000000000028,-0.00999999999999801
5.7,2.0,0.5,0.375,11.875,0.0,-2.375,-0.25,11.375,3.75,9.5,0.05999999999999517,-0.07000000000000028
5.8,2.125,0.625,0.375,12.0,-0.125,-2.5,-0.375,11.5,3.75,9.5,0.07000000000000028,-0.03999999999999915
5.9,2.125,0.625,0.375,12.125,-0.125,-2.375,-0.25,11.625,3.875,9.625,0.05999999999999517,-0.04999999999999716
6.0,2.125,0.5,0.375,12.25,-0.125,-2.5,-0.25,11.75,3.875,9.75,0.04999999999999716,-0.07000000000000028
6.1,2.25,0.625,0.375,12.375,-0.125,-2.625,-0.375,11.875,3.875,9.75,0.04999999999999716,-0.07000000000000028
6.2,2.25,0.625,0.375,12.5,-0.25,-2.625,-0.375,12.0,3.875,9.75,0.04999999999999716,-0.07000000000000028
6.3,2.25,0.625,0.375,12.625,-0.25,-2.75,-0.25,12.125,3.875,9.875,0.05999999999999517,-0.10000000000000142
6.4,2.25,0.625,0.375,12.75,-0.375,-2.75,-0.25,12.25,4.0,9.875,0.04999999999999716,-0.0899999999999963
6.5,2.25,0.75,0.375,12.875,-0.375,-2.875,-0.25,12.375,4.0,10.0,0.07000000000000028,-0.13000000000000256
6.6,2.375,0.625,0.375,13.0,-0.5,-2.875,-0.375,12.5,4.0,10.0,0.05999999999999517,-0.04999999999999716
6.7,2.375,0.75,0.375,13.0,-0.5,-3.0,-0.25,12.625,4.0,10.125,0.0899999999999963,-0.0799999999999983
6.8,2.375,0.75,0.5,13.125,-0.5,-3.0,-0.25,12.625,4.0,10.125,0.04999999999999716,-0.13000000000000256
6.9,2.375,0.75,0.375,13.25,-0.625,-3.125,-0.25,12.875,4.0,10.125,0.07000000000000028,-0.13000000000000256
7.0,2.5,0.75,0.375,13.375,-0.625,-3.125,-0.375,12.875,4.125,10.25,0.05999999999999517,-0.1599999999999966
7.1,2.5,0.75,0.5,13.5,-0.75,-3.25,-0.375,13.0,4.125,10.125,0.07000000000000028,-0.10999999999999943
7.2,2.5,0.75,0.375,13.5,-0.875,-3.25,-0.25,13.125,4.125,10.125,0.05999999999999517,-0.14000000000000057
7.3,2.625,0.875,0.375,13.5,-0.75,-3.375,-0.375,13.125,4.125,10.25,0.05999999999999517,-0.14000000000000057
7.4,2.625,0.875,0.5,13.625,-0.75,-3.375,-0.25,13.25,4.125,10.25,0.05999999999999517,-0.1700000000000017
7.5,2.625,0.75,0.375,13.75,-0.875,-3.5,-0.375,13.25,4.125,10.25,0.07000000000000028,-0.17999999999999972
7.6,2.625,0.875,0.375,13.75,-1.0,-3.5,-0.375,13.375,4.125,10.25,0.04999999999999716,-0.14000000000000057
7.7,2.625,0.875,0.5,13.875,-1.0,-3.625,-0.375,13.375,4.125,10.25,0.05999999999999517,-0.19999999999999574
7.8,2.75,0.875,0.375,13.875,-1.125,-3.625,-0.375,13.5,4.25,10.25,0.05999999999999517,-0.18999999999999773
7.9,2.625,1.0,0.375,14.0,-1.125,-3.625,-0.375,13.625,4.125,10.25,0.07000000000000028,-0.19999999999999574
8.0,2.75,1.0,0.5,14.0,-1.25,-3.75,-0.375,13.625,4.25,10.25,0.07000000000000028,-0.19999999999999574
8.1,2.75,1.0,0.375,14.0,-1.375,-3.75,-0.375,13.75,4.125,10.125,0.05999999999999517,-0.18999999999999773
8.2,2.75,1.0,0.5,14.125,-1.375,-3.75,-0.375,13.75,4.125,10.125,0.07000000000000028,-0.22999999999999687
8.3,2.75,1.0,0.5,14.125,-1.375,-3.875,-0.25,13.75,4.125,10.125,0.07000000000000028,-0.17999999999999972
8.4,2.75,1.0,0.5,14.125,-1.5,-4.0,-0.25,13.75,4.125,10.125,0.05999999999999517,-0.18999999999999773
8.5,2.875,1.0,0.375,14.25,-1.5,-4.0,-0.25,13.875,4.125,10.125,0.04999999999999716,-0.25
8.6,2.875,1.0,0.375,14.25,-1.5,-4.0,-0.125,13.875,4.125,10.0,0.05999999999999517,-0.259999999999998
8.7,2.875,1.125,0.5,14.375,-1.625,-4.0,-0.25,13.875,4.0,10.0,0.04999999999999716,-0.259999999999998
8.8,2.875,1.125,0.5,14.375,-1.625,-4.125,-0.25,14.0,4.125,9.875,0.07000000000000028,-0.25
8.9,2.875,1.125,0.375,14.375,-1.625,-4.125,-0.25,14.0,4.0,9.875,0.04999999999999716,-0.22999999999999687
9.0,3.0,1.25,0.5,14.375,-1.75,-4.125,-0.25,14.0,4.0,9.875,0.07000000000000028,-0.269999999999996
9.1,3.0,1.125,0.5,14.375,-1.75,-4.25,-0.25,14.0,4.0,9.75,0.05999999999999517,-0.25
9.2,3.0,1.25,0.5,14.375,-1.75,-4.25,-0.25,14.0,4.0,9.75,0.0899999999999963,-0.269999999999996
9.3,3.0,1.125,0.5,14.375,-1.875,-4.25,-0.25,14.0,4.0,9.75,0.07000000000000028,-0.259999999999998
9.4,3.0,1.25,0.5,14.375,-2.0,-4.25,-0.25,14.125,3.875,9.625,0.05999999999999517,-0.259999999999998
9.5,3.0,1.25,0.5,14.5,-2.0,-4.375,-0.25,14.125,4.0,9.5,0.05999999999999517,-0.259999999999998
9.6,3.0,1.25,0.5,14.5,-2.0,-4.375,-0.25,14.125,4.0,9.5,0.07000000000000028,-0.28999999999999915
9.7,3.0,1.25,0.5,14.5,-2.125,-4.375,-0.25,14.125,4.0,9.5,0.07000000000000028,-0.3200000000000003
9.8,3.0,1.25,0.5,14.5,-2.25,-4.375,-0.25,14.125,3.875,9.375,0.07000000000000028,-0.28999999999999915
9.9,3.0,1.25,0.5,14.5,-2.25,-4.375,-0.375,14.125,3.875,9.375,0.05999999999999517,-0.28999999999999915
10.0,3.0,1.25,0.5,14.375,-2.25,-4.625,-0.375,14.125,3.875,9.25,0.07000000000000028,-0.29999999999999716
10.1,3.0,1.25,0.375,14.375,-2.375,-4.75,-0.375,14.0,3.875,9.25,0.05999999999999517,-0.3399999999999963
10.2,3.0,1.25,0.375,14.25,-2.5,-4.75,-0.5,14.0,4.0,9.25,0.05999999999999517,-0.3200000000000003
10.3,3.0,1.25,0.25,14.25,-2.5,-4.875,-0.375,14.0,4.0,9.125,0.05999999999999517,-0.28999999999999915
10.4,3.0,1.25,0.25,14.125,-2.625,-4.875,-0.25,14.0,4.0,9.25,0.07000000000000028,-0.35999999999999943
10.5,3.0,1.25,0.25,14.125,-2.625,-4.875,-0.5,13.875,4.125,9.375,0.07000000000000028,-0.3399999999999963
10.6,3.0,1.375,0.125,14.0,-2.625,-4.875,-0.375,13.875,4.125,9.625,0.07000000000000028,-0.28999999999999915
10.7,3.125,1.375,0.125,14.0,-2.75,-5.0,-0.25,13.75,4.125,10.5,0.05999999999999517,-0.35999999999999943
10.8,3.125,1.375,0.125,14.0,-2.625,-4.875,-0.25,13.75,4.125,12.625,0.05999999999999517,-0.39000000000000057
10.9,3.375,1.375,0.0,14.0,-2.25,-4.625,-0.125,13.75,4.375,16.875,0.05999999999999517,-0.38000000000000256
11.0,3.75,1.375,0.125,14.25,-1.625,-4.125,0.0,14.0,4.5,24.375,0.05999999999999517,-0.35999999999999943
11.1,4.375,1.375,0.125,14.875,-0.5,-2.875,0.125,14.625,5.25,36.5,0.07000000000000028,-0.39000000000000057
11.2,5.5,1.375,0.125,16.5,1.625,-0.75,0.25,16.125,6.875,54.625,0.05999999999999517,-0.3500000000000014
11.3,7.0,1.375,0.125,19.625,4.75,2.625,0.625,19.0,9.75,81.0,0.07000000000000028,-0.38000000000000256
11.4,9.25,1.5,0.125,25.125,9.25,7.375,0.875,24.25,15.0,117.0,0.0899999999999963,-0.3500000000000014
11.5,12.125,1.5,0.125,33.5,14.875,13.5,1.125,32.25,23.125,163.0,0.07000000000000028,-0.35999999999999943
11.6,15.75,1.625,0.25,45.75,21.625,21.25,1.5,44.375,35.375,220.25,0.07000000000000028,-0.38000000000000256
11.7,20.125,1.75,0.375,62.25,29.5,30.5,1.75,61.625,52.375,288.375,0.0899999999999963,-0.3299999999999983
11.8,25.25,1.875,0.375,83.5,38.5,40.875,2.25,84.75,74.25,367.25,0.0899999999999963,-0.3500000000000014
11.9,31.125,2.125,0.5,110.0,48.75,52.5,2.75,115.375,101.625,458.375,0.0899999999999963,-0.3500000000000014
12.0,37.875,2.375,0.625,142.125,60.25,65.0,3.0,153.75,133.625,559.75,0.07000000000000028,-0.3399999999999963
12.1,45.375,2.75,0.625,179.25,73.0,78.375,3.5,200.0,169.25,666.375,0.0899999999999963,-0.38000000000000256
12.2,53.625,3.0,0.75,222.25,87.25,92.875,4.125,255.5,208.625,776.5,0.05999999999999517,-0.3200000000000003
12.3,62.625,3.5,0.875,270.25,102.625,108.125,4.375,320.25,250.75,886.75,0.07000000000000028,-0.3399999999999963
12.4,72.375,3.875,1.0,322.375,119.125,123.875,5.0,393.75,294.25,993.5,0.04999999999999716,-0.28999999999999915
12.5,83.0,4.625,1.125,379.0,137.25,140.5,5.375,477.125,339.625,1096.25,0.05999999999999517,-0.3500000000000014
12.6,94.25,5.125,1.25,438.875,156.5,157.625,6.0,568.375,385.875,1192.5,0.07000000000000028,-0.259999999999998
12.7,106.25,5.75,1.375,500.625,176.625,175.125,6.375,665.875,432.25,1281.375,0.05999999999999517,-0.25
12.8,118.875,6.25,1.5,564.5,198.0,193.125,7.125,769.875,479.125,1365.75,0.10000000000000142,-0.21000000000000085
12.9,132.25,7.0,1.625,628.25,220.0,211.0,7.625,876.75,525.125,1442.375,0.05999999999999517,-0.259999999999998
13.0,146.25,7.75,1.75,692.25,243.125,229.5,8.0,986.875,571.125,1512.5,0.05999999999999517,-0.21999999999999886
13.1,161.0,8.5,1.875,755.0,266.875,247.875,8.625,1097.125,616.0,1575.625,0.0899999999999963,-0.19999999999999574
13.2,176.125,9.25,2.0,815.25,291.0,266.125,9.0,1204.625,659.25,1632.375,0.0899999999999963,-0.17999999999999972
13.3,192.0,10.125,2.125,873.625,316.125,284.25,9.625,1310.0,701.75,1685.125,0.10000000000000142,-0.14999999999999858
13.4,208.5,11.0,2.25,929.125,341.625,302.375,10.125,1410.875,743.0,1732.875,0.05999999999999517,-0.11999999999999744
13.5,225.25,11.875,2.375,980.875,367.375,320.125,10.625,1504.625,782.5,1775.375,0.07000000000000028,-0.10999999999999943
13.6,242.625,12.75,2.5,1030.0,393.5,337.75,11.125,1592.75,820.875,1813.5,0.10000000000000142,-0.10999999999999943
13.7,260.625,13.75,2.625,1075.625,419.75,355.125,11.5,1673.75,857.875,1848.125,0.05999999999999517,-0.10000000000000142
13.8,278.625,14.75,2.75,1117.625,445.75,371.875,12.125,1746.875,892.875,1879.625,0.07000000000000028,-0.00999999999999801
13.9,297.25,15.75,2.75,1156.75,471.875,388.375,12.5,1813.625,926.75,1908.625,0.0899999999999963,0.03999999999999915
14.0,316.25,16.75,3.0,1192.875,498.0,404.375,13.0,1873.875,959.125,1935.125,0.07000000000000028,0.05000000000000426
14.1,335.375,17.875,3.0,1225.875,523.625,419.75,13.5,1927.375,989.375,1958.875,0.07000000000000028,0.0799999999999983
14.2,354.875,18.875,3.125,1256.5,549.25,434.75,13.875,1975.875,1018.625,1981.0,0.07000000000000028,0.09000000000000341
14.3,374.625,20.125,3.25,1284.75,574.375,449.25,14.375,2019.125,1046.125,2001.125,0.07000000000000028,0.11999999999999744
14.4,394.5,21.25,3.375,1310.375,598.75,463.0,14.875,2057.375,1072.0,2019.5,0.07000000000000028,0.14999999999999858
14.5,414.75,22.5,3.5,1334.125,622.75,476.375,15.125,2092.0,1096.625,2036.5,0.07000000000000028,0.14999999999999858
