time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
10.0,0.0,1.25,0.125,-4.25,-6.125,-4.75,0.125,-2.625,-4.25,-9.125,0.0399999999999991,-0.6200000000000045
10.1,0.0,1.25,0.125,-4.375,-6.125,-4.75,0.125,-2.75,-4.75,-9.5,0.0700000000000002,-0.6100000000000065
10.2,0.0,1.375,0.0,-4.5,-6.125,-4.875,-0.125,-2.75,-4.875,-9.625,0.0499999999999971,-0.6200000000000045
10.3,-0.125,1.375,0.0,-4.625,-6.125,-4.875,0.125,-2.875,-4.875,-9.75,0.0700000000000002,-0.6100000000000065
10.4,-0.125,1.25,0.0,-4.75,-6.25,-5.0,0.0,-2.875,-4.875,-9.75,0.0499999999999971,-0.5800000000000054
10.5,-0.125,1.375,0.0,-4.875,-6.25,-5.0,0.125,-3.0,-4.75,-9.625,0.0700000000000002,-0.6100000000000065
10.6,-0.125,1.375,-0.125,-5.0,-6.25,-5.0,-0.125,-3.0,-4.75,-9.25,0.0700000000000002,-0.6200000000000045
10.7,-0.125,1.25,-0.125,-5.0,-6.25,-5.0,0.0,-3.125,-4.75,-8.25,0.0499999999999971,-0.6200000000000045
10.8,-0.125,1.375,-0.125,-5.0,-6.125,-4.875,0.0,-3.125,-4.75,-6.125,0.0700000000000002,-0.5800000000000054
10.9,0.0,1.25,-0.125,-4.875,-5.75,-4.625,0.125,-3.125,-4.5,-2.375,0.0700000000000002,-0.6200000000000045
11.0,0.25,1.25,-0.25,-4.5,-5.125,-4.125,0.0,-3.0,-4.0,3.75,0.0499999999999971,-0.6200000000000045
11.1,0.75,1.25,-0.25,-3.625,-3.875,-3.125,0.25,-2.5,-3.0,13.375,0.0499999999999971,-0.6100000000000065
11.2,1.5,1.25,-0.25,-2.0,-1.75,-1.25,0.125,-1.5,-1.0,26.75,0.0499999999999971,-0.6100000000000065
11.3,2.625,1.375,-0.25,0.875,1.25,1.375,0.5,0.5,2.625,45.0,0.0499999999999971,-0.6400000000000006
11.4,4.125,1.25,-0.25,5.375,5.125,5.25,0.5,4.375,8.25,68.625,0.0399999999999991,-0.6200000000000045
11.5,6.25,1.375,-0.25,12.0,9.875,9.875,0.75,10.5,16.5,98.375,0.0499999999999971,-0.6200000000000045
11.6,8.75,1.375,-0.25,21.25,15.75,15.625,0.875,19.875,27.875,136.5,0.0499999999999971,-0.6100000000000065
11.7,11.875,1.5,-0.25,33.625,22.25,22.25,1.25,33.125,42.75,183.75,0.0499999999999971,-0.5800000000000054
11.8,15.625,1.75,-0.25,49.0,29.625,29.75,1.375,50.625,60.875,239.5,0.0499999999999971,-0.5300000000000011
11.9,19.875,1.875,-0.25,68.125,38.0,38.125,1.5,73.25,83.0,304.875,0.0399999999999991,-0.5800000000000054
12.0,24.75,2.125,-0.25,90.875,47.125,47.25,2.0,101.375,108.625,378.5,0.0499999999999971,-0.5500000000000043
12.1,30.125,2.375,-0.25,117.875,57.375,57.375,2.125,135.75,138.125,461.0,0.0499999999999971,-0.5300000000000011
12.2,36.25,2.75,-0.25,149.125,68.75,68.125,2.5,176.75,171.0,549.75,0.0799999999999983,-0.5100000000000051
12.3,42.875,3.0,-0.25,183.875,80.75,79.125,2.875,224.25,206.25,641.375,0.0799999999999983,-0.480000000000004
12.4,50.125,3.375,-0.25,223.125,94.125,91.0,3.125,279.25,244.375,736.375,0.0399999999999991,-0.4500000000000028
12.5,57.875,3.875,-0.25,266.0,108.125,103.375,3.25,341.0,284.25,832.125,0.0499999999999971,-0.4500000000000028
12.6,66.125,4.25,-0.25,311.75,123.0,116.0,3.625,408.75,325.25,926.5,0.0399999999999991,-0.3900000000000005
12.7,75.0,4.75,-0.25,361.0,139.0,129.125,3.875,483.125,367.75,1018.75,0.0700000000000002,-0.3400000000000034
12.8,84.375,5.125,-0.25,412.75,156.0,142.5,4.25,562.875,411.0,1106.875,0.0700000000000002,-0.4000000000000057
12.9,94.25,5.75,-0.25,465.875,173.5,156.0,4.75,646.75,454.0,1190.5,0.0700000000000002,-0.3200000000000003
13.0,104.625,6.25,-0.25,521.0,192.0,169.875,4.875,735.25,497.5,1269.125,0.0499999999999971,-0.2700000000000031
13.1,115.5,6.875,-0.25,577.0,210.875,183.75,5.125,826.75,540.5,1340.375,0.0700000000000002,-0.25
13.2,126.75,7.5,-0.25,632.625,230.125,197.75,5.375,919.0,582.5,1404.875,0.0399999999999991,-0.240000000000002
13.3,138.5,8.125,-0.25,688.5,249.75,211.875,5.75,1013.125,624.25,1464.375,0.0499999999999971,-0.2100000000000008
13.4,150.75,8.75,-0.25,743.5,269.375,225.875,6.0,1106.75,665.125,1518.75,0.0700000000000002,-0.1300000000000025
13.5,163.25,9.375,-0.25,796.5,289.125,239.625,6.375,1197.875,704.75,1567.25,0.0499999999999971,-0.1300000000000025
13.6,176.25,10.125,-0.25,848.375,308.875,253.375,6.625,1287.25,743.875,1611.875,0.0499999999999971,-0.0900000000000034
