time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
10.0,2.875,1.0,0.0,0.0,-6.0,-5.25,-0.375,5.625,-2.5,-4.75,0.0300000000000011,-0.5
10.1,3.0,1.125,0.0,-0.25,-6.125,-5.375,-0.5,5.625,-2.5,-5.0,0.0499999999999971,-0.490000000000002
10.2,2.875,1.0,0.0,-0.375,-6.125,-5.375,-0.5,5.375,-2.625,-5.125,0.0600000000000022,-0.509999999999998
10.3,2.875,1.0,-0.125,-0.5,-6.25,-5.5,-0.5,5.25,-2.625,-5.25,0.0799999999999983,-0.509999999999998
10.4,2.875,1.0,-0.125,-0.75,-6.25,-5.625,-0.5,5.125,-2.75,-5.25,0.0300000000000011,-0.5
10.5,2.875,1.125,-0.125,-0.875,-6.375,-5.625,-0.5,5.125,-2.75,-5.25,0.0300000000000011,-0.4399999999999977
10.6,2.875,1.125,-0.25,-1.125,-6.375,-5.625,-0.5,4.875,-2.75,-4.875,0.0600000000000022,-0.5300000000000011
10.7,2.875,1.125,-0.25,-1.25,-6.375,-5.75,-0.5,4.875,-2.875,-3.75,0.0499999999999971,-0.5
10.8,2.875,1.125,-0.25,-1.375,-6.375,-5.5,-0.375,4.75,-2.875,-1.375,0.0600000000000022,-0.5
10.9,3.125,1.125,-0.25,-1.375,-6.0,-5.25,-0.5,4.75,-2.875,2.75,0.0300000000000011,-0.4600000000000008
11.0,3.5,1.125,-0.25,-1.0,-5.625,-4.625,-0.375,5.0,-2.625,8.875,0.019999999999996,-0.5200000000000031
11.1,4.0,1.125,-0.25,-0.25,-4.75,-3.5,-0.25,5.5,-1.875,17.5,0.0600000000000022,-0.509999999999998
11.2,4.875,1.125,-0.25,1.375,-3.375,-1.75,-0.25,6.75,-0.5,29.375,0.0799999999999983,-0.5300000000000011
11.3,6.0,1.125,-0.25,4.25,-1.25,0.875,0.125,8.875,2.0,46.375,0.0600000000000022,-0.5399999999999991
11.4,7.5,1.125,-0.25,8.75,1.5,4.375,0.25,12.375,5.75,68.75,0.0300000000000011,-0.5600000000000023
11.5,9.375,1.25,-0.25,15.375,5.125,8.875,0.625,18.0,11.625,97.75,0.0499999999999971,-0.509999999999998
