file,label,F1_time_to_peak,F2_time_to_peak,F3_time_to_peak,F4_time_to_peak,F5_time_to_peak,F6_time_to_peak,F7_time_to_peak,F8_time_to_peak,F9_time_to_peak,F10_time_to_peak
A_01_1030crop.csv,A,30.0,30.0,28.0,21.2,20.2,20.5,27.2,22.7,25.5,21.6
A_02_1030crop.csv,A,30.0,30.0,29.9,20.9,19.7,20.1,26.7,22.5,25.0,21.4
A_03_1030crop.csv,A,26.6,30.0,29.4,20.4,19.5,19.5,27.9,20.8,23.2,20.9
A_04_1030crop.csv,A,29.4,30.0,28.6,20.9,20.0,20.2,25.4,22.2,24.5,21.2
A_05_1030crop.csv,A,30.0,30.0,29.9,21.5,20.6,19.5,19.0,22.9,25.1,21.9
A_06_1030crop.csv,A,29.9,29.9,29.9,20.9,20.2,20.1,26.4,22.3,24.7,21.1
A_07_1030crop.csv,A,29.5,30.0,29.1,21.2,20.4,20.3,28.8,22.3,24.9,21.7
A_08_1030crop.csv,A,29.4,30.0,30.0,20.9,20.0,20.0,27.4,22.2,24.8,21.5
A_09_1030crop.csv,A,30.0,30.0,30.0,21.0,20.3,20.4,25.8,22.4,25.0,21.2
A_10_1030crop.csv,A,29.0,30.0,29.0,20.8,20.3,20.0,28.3,21.8,24.2,21.3
A_11_1030crop.csv,A,25.3,30.0,29.7,19.0,18.5,18.3,25.5,19.4,21.3,19.5
A_12_1030crop.csv,A,30.0,30.0,30.0,21.3,20.6,20.6,26.7,22.4,25.0,22.0
A_13_1030crop.csv,A,28.1,30.0,29.2,20.6,20.2,19.8,25.9,21.4,23.8,21.1
A_14_1030crop.csv,A,30.0,30.0,29.9,21.7,20.9,20.9,24.4,23.5,25.7,21.8
A_15_1030crop.csv,A,28.0,30.0,29.5,20.5,19.8,19.6,26.7,21.2,23.6,20.7
A_16_1030crop.csv,A,25.5,30.0,30.0,19.9,19.6,19.3,26.3,20.1,22.1,20.2
A_17_1030crop.csv,A,27.5,30.0,29.7,20.0,19.5,19.3,27.2,20.8,23.2,20.4
A_18_1030crop.csv,A,30.0,30.0,29.8,21.1,20.3,20.4,26.5,22.5,24.8,21.4
A_19_1030crop.csv,A,27.2,30.0,30.0,20.3,19.7,19.5,27.6,20.8,22.8,20.6
A_20_1030crop.csv,A,24.6,30.0,30.0,19.9,19.4,19.1,28.4,19.7,21.7,19.9
A_21_1030crop.csv,A,27.3,30.0,30.0,20.3,19.8,19.6,25.8,21.1,23.4,20.9
A_22_1030crop.csv,A,23.2,30.0,30.0,18.6,17.9,17.6,25.4,18.4,20.1,18.6
A_23_1030crop.csv,A,28.1,30.0,29.0,20.5,19.9,19.8,25.1,21.6,23.6,21.0
A_24_1030crop.csv,A,28.9,30.0,29.9,20.9,20.3,20.3,23.4,22.1,24.5,21.6
A_25_1030crop.csv,A,27.5,30.0,28.7,20.4,19.6,19.7,28.4,21.2,23.3,20.9
A_26_1030crop.csv,A,26.1,30.0,30.0,19.7,19.1,19.1,25.5,20.2,22.4,20.2
A_27_1030crop.csv,A,29.1,30.0,29.4,20.5,19.7,19.7,27.9,21.6,24.4,20.6
A_28_1030crop.csv,A,28.6,30.0,28.2,20.7,19.8,20.0,23.6,21.6,24.0,20.9
A_29_1030crop.csv,A,29.7,30.0,30.0,20.2,19.5,19.3,25.9,21.2,23.6,20.4
A_30_1030crop.csv,A,27.3,30.0,30.0,19.6,19.1,18.7,25.5,20.4,22.5,20.0
A_31_1030crop.csv,A,25.1,30.0,29.7,18.9,18.6,18.2,27.9,19.2,21.2,19.6
A_32_1030crop.csv,A,24.4,30.0,30.0,18.6,18.2,17.9,26.6,18.9,20.8,19.1
A_33_1030crop.csv,A,28.6,30.0,30.0,19.8,19.3,19.0,24.7,21.0,23.3,20.6
